load_d,moisture_frac,D_imposed,J_target,J_eff,KV_fixed,lambda_weibull,rss,J1,J2,J3,J4,tau1,tau2,tau3,tau4
0.8,0.0,1.0,0.2,0.2332346725619738,4,7.0,2.6082684944719847e-05,0.015313791640707931,0.030007705742778834,0.061023006332663055,0.126890168845824,0.1,1.0,10.0,100.0
0.8,0.07142857142857142,1.0214285714285714,0.2142857142857143,0.25516519100429375,4,6.85,0.00013256468377323408,0.012344451517827107,0.03887642019141945,0.06297310380539684,0.14097121548965036,0.1,1.0,10.0,100.0
0.8,0.14285714285714285,1.042857142857143,0.2285714285714286,0.2769971525786288,4,6.7,5.136799490936821e-05,0.017823225238822887,0.03537586196288995,0.07204173334802749,0.15175633202888847,0.1,1.0,10.0,100.0
0.8,0.21428571428571427,1.0642857142857143,0.24285714285714285,0.30026378061376124,4,6.55,0.00024647293430471716,0.016774982196045014,0.04221242687343908,0.07600320243493364,0.1652731691093435,0.1,1.0,10.0,100.0
0.8,0.2857142857142857,1.0857142857142859,0.2571428571428572,0.324263773611724,4,6.3999999999999995,5.939356494269762e-05,0.017685889134342818,0.046477946241916965,0.08143624978090505,0.17866368845455913,0.1,1.0,10.0,100.0
0.8,0.3571428571428571,1.1071428571428572,0.27142857142857146,0.3505463810013779,4,6.25,0.00018781413963973962,0.020464123180700376,0.048042726958871795,0.08692670092547046,0.19511282993633525,0.1,1.0,10.0,100.0
0.8,0.42857142857142855,1.1285714285714286,0.2857142857142857,0.3824982880734943,4,6.1,0.0005157670410712509,0.014076803436125709,0.06184581915557366,0.08733573288638935,0.21923993259540558,0.1,1.0,10.0,100.0
0.8,0.5,1.15,0.30000000000000004,0.4221167412813891,4,5.949999999999999,0.0023045571428265505,0.014589551785059829,0.06875561914110301,0.09012520492521807,0.24864636543000815,0.1,1.0,10.0,100.0
0.8,0.5714285714285714,1.1714285714285715,0.3142857142857143,0.46897970560535135,4,5.799999999999999,0.0015743436668368604,0.01573754759022397,0.07275095698621391,0.0998915037353576,0.2805996972935559,0.1,1.0,10.0,100.0
0.8,0.6428571428571428,1.1928571428571428,0.32857142857142857,0.5225709883230504,4,5.65,0.002558384566993905,0.017870049318061708,0.07682839285011048,0.11336671819701907,0.31450582795785914,0.1,1.0,10.0,100.0
0.8,0.7142857142857142,1.2142857142857144,0.34285714285714286,0.5926479440558284,4,5.5,0.010898171722632568,0.000951666696657999,0.11400990823782545,0.10902184593533557,0.3686645231860094,0.1,1.0,10.0,100.0
0.8,0.7857142857142857,1.2357142857142858,0.35714285714285715,0.6805133403570629,4,5.35,0.014603342993025166,4.481910122332248e-09,0.1320712498681905,0.1088538120977045,0.43958827390925775,0.1,1.0,10.0,100.0
0.8,0.8571428571428571,1.2571428571428571,0.37142857142857144,0.8251046141860039,4,5.199999999999999,0.05812227076082468,6.875467063773553e-08,0.16559515586251058,0.0758290655665344,0.5836803240022882,0.1,1.0,10.0,100.0
0.8,0.9285714285714285,1.2785714285714285,0.38571428571428573,1.1979295752356787,4,5.05,4.962614839170171,0.1070303248621439,7.422943666726041e-17,6.360321210393769e-25,1.0908992503735346,0.1,1.0,10.0,100.0
0.8,1.0,1.3,0.4,1.587908380188974,4,4.8999999999999995,0.27844867114700034,5.677356713882384e-07,0.2188094175622563,2.6422044060099804e-15,1.3690983948910436,0.1,1.0,10.0,100.0
