load_d,moisture_frac,D_imposed,J_target,J_eff,KV_fixed,lambda_weibull,rss,J1,J2,J3,J4,tau1,tau2,tau3,tau4
0.4,0.0,1.0,0.2,0.2078226220974534,4,7.0,8.642246730821529e-07,0.014193202213744371,0.027290776813450504,0.05545380660144058,0.11088483646881796,0.1,1.0,10.0,100.0
0.4,0.07142857142857142,1.0214285714285714,0.2142857142857143,0.22316120301241776,4,6.85,1.1886167073228336e-06,0.014350142949060812,0.03021587303502027,0.059050541109930896,0.1195446459184058,0.1,1.0,10.0,100.0
0.4,0.14285714285714285,1.042857142857143,0.2285714285714286,0.2387302064319617,4,6.7,1.3516699971605456e-06,0.016207586778753252,0.03126088793789181,0.06346509535267114,0.1277966363626455,0.1,1.0,10.0,100.0
0.4,0.21428571428571427,1.0642857142857143,0.24285714285714285,0.2548040272821988,4,6.55,9.49210083398347e-06,0.014950790668720647,0.036404199067465004,0.0659599476437895,0.13748908990222367,0.1,1.0,10.0,100.0
0.4,0.2857142857142857,1.0857142857142859,0.2571428571428572,0.27171099550843014,4,6.3999999999999995,3.656033731977011e-06,0.016943276360967194,0.03737718863104304,0.0703615097391711,0.14702902077724878,0.1,1.0,10.0,100.0
0.4,0.3571428571428571,1.1071428571428572,0.27142857142857146,0.28795143247234956,4,6.25,2.0733421949398094e-06,0.02058744384933383,0.035426473501132635,0.07740205182135525,0.15453546330052784,0.1,1.0,10.0,100.0
0.4,0.42857142857142855,1.1285714285714286,0.2857142857142857,0.30430915594183383,4,6.1,9.961131465078056e-06,0.019061559710809473,0.041114945240275806,0.08109032909883933,0.1630423218919092,0.1,1.0,10.0,100.0
0.4,0.5,1.15,0.30000000000000004,0.3214676428154738,4,5.949999999999999,4.072238613503181e-06,0.020036086017932296,0.044737952593575436,0.08399687360970082,0.17269673059426527,0.1,1.0,10.0,100.0
0.4,0.5714285714285714,1.1714285714285715,0.3142857142857143,0.33844939406299707,4,5.799999999999999,8.85901207776239e-06,0.021900630660801126,0.0458496657455876,0.08802001282548146,0.18267908483112688,0.1,1.0,10.0,100.0
0.4,0.6428571428571428,1.1928571428571428,0.32857142857142857,0.35682991853106183,4,5.65,3.300913520976565e-05,0.019699142755902836,0.0520588001734959,0.09046133717979146,0.19461063842187165,0.1,1.0,10.0,100.0
0.4,0.7142857142857142,1.2142857142857144,0.34285714285714286,0.37599523270939494,4,5.5,9.619566049299912e-06,0.023200927283651973,0.05085859441651053,0.09692478004235318,0.20501093096687925,0.1,1.0,10.0,100.0
0.4,0.7857142857142857,1.2357142857142858,0.35714285714285715,0.3961738285642278,4,5.35,1.1839052935573103e-05,0.02569699712265397,0.05130256567371693,0.10308609330037816,0.2160881724674787,0.1,1.0,10.0,100.0
0.4,0.8571428571428571,1.2571428571428571,0.37142857142857144,0.4172446424285368,4,5.199999999999999,6.051326400450335e-05,0.023324450369048205,0.05892864469329516,0.10664460921056655,0.2283469381556269,0.1,1.0,10.0,100.0
0.4,0.9285714285714285,1.2785714285714285,0.38571428571428573,0.4398042162774082,4,5.05,1.6832695406496016e-05,0.02558177674670835,0.06144807078532329,0.11176650462088723,0.24100786412448932,0.1,1.0,10.0,100.0
0.4,1.0,1.3,0.4,0.4626716138244157,4,4.8999999999999995,2.0116755198528874e-05,0.028738318387700315,0.06141362211327029,0.11859719722548084,0.25392247609796426,0.1,1.0,10.0,100.0
