load_d,moisture_frac,run_tag,D_imposed,J_target,lambda_weibull,KV,rss,J_eff,J1,J2,J3,J4,tau1,tau2,tau3,tau4
0.6,0.0,m0.000,1.0,0.2,7.0,4,5.572133893138715e-06,0.2157409410209492,0.01278393233248138,0.030106125806263352,0.05644889088982197,0.11640199199238252,0.1,1.0,10.0,100.0
0.6,0.07142857142857142,m0.071,1.0214285714285714,0.2142857142857143,6.85,4,3.0608423754219976e-05,0.23447473353715123,0.013180388806418877,0.03439861599783828,0.05904930934873577,0.1278464193841583,0.1,1.0,10.0,100.0
0.6,0.14285714285714285,m0.143,1.042857142857143,0.2285714285714286,6.7,4,1.1434713360671936e-05,0.25224382438602233,0.016910034892112603,0.03222853360735216,0.0660762390304859,0.13702901685607166,0.1,1.0,10.0,100.0
0.6,0.21428571428571427,m0.214,1.0642857142857143,0.24285714285714285,6.55,4,1.2300912672276839e-05,0.27118491614704887,0.017229203449036466,0.0356052972870053,0.0714244425351305,0.14692597287587664,0.1,1.0,10.0,100.0
0.6,0.2857142857142857,m0.286,1.0857142857142859,0.2571428571428572,6.3999999999999995,4,9.960098600987292e-05,0.29130608437970695,0.016032435621433985,0.042488643923554455,0.07347024805386959,0.15931475678084894,0.1,1.0,10.0,100.0
0.6,0.3571428571428571,m0.357,1.1071428571428572,0.27142857142857146,6.25,4,2.331114821212163e-05,0.3113705455702663,0.01895295339375587,0.042420518191055634,0.07977271512283664,0.17022435886261814,0.1,1.0,10.0,100.0
0.6,0.42857142857142855,m0.429,1.1285714285714286,0.2857142857142857,6.1,4,5.255317712752803e-05,0.33259273110612697,0.020114324147091855,0.04466726637504486,0.08552841025730454,0.18228273032668574,0.1,1.0,10.0,100.0
0.6,0.5,m0.500,1.15,0.30000000000000004,5.949999999999999,4,7.429945180736144e-05,0.35656532226208415,0.017945137129807956,0.052763395798100445,0.08853320442757014,0.19732358490660562,0.1,1.0,10.0,100.0
0.6,0.5714285714285714,m0.571,1.1714285714285715,0.3142857142857143,5.799999999999999,4,2.3482224819516763e-05,0.37997968048718167,0.02581840582554668,0.04687853763044802,0.09887613488706656,0.2084066021441204,0.1,1.0,10.0,100.0
0.6,0.6428571428571428,m0.643,1.1928571428571428,0.32857142857142857,5.65,4,0.00010626754404573876,0.404311742422894,0.02405912018920313,0.05360808929310852,0.10392361537125167,0.2227209175693307,0.1,1.0,10.0,100.0
0.6,0.7142857142857142,m0.714,1.2142857142857144,0.34285714285714286,5.5,4,7.228030056593087e-05,0.4316293319410144,0.02173111153704059,0.06314949594314853,0.10750022742158984,0.23924849703923542,0.1,1.0,10.0,100.0
0.6,0.7857142857142857,m0.786,1.2357142857142858,0.35714285714285715,5.35,4,0.0004566381147715217,0.4621288953690459,0.024008154022972333,0.06773506352845145,0.11042493446264454,0.2599607433549776,0.1,1.0,10.0,100.0
0.6,0.8571428571428571,m0.857,1.2571428571428571,0.37142857142857144,5.199999999999999,4,0.0003952700837559841,0.4975502959042607,0.018600535680103062,0.07942320272314769,0.11248607863861429,0.28704047886239564,0.1,1.0,10.0,100.0
0.6,0.9285714285714285,m0.929,1.2785714285714285,0.38571428571428573,5.05,4,0.002429052078668446,0.5453687377403011,0.013501105061787904,0.09467371651367645,0.1104316060727826,0.32676231009205414,0.1,1.0,10.0,100.0
0.6,1.0,m1.000,1.3,0.4,4.8999999999999995,4,0.000837565554738648,0.598265465129175,0.02168547301131416,0.0880174487270435,0.12807270655381525,0.36048983683700214,0.1,1.0,10.0,100.0
